DISCIPLINE,COMMONNAME,LEGALNAME,ADSTREET,ADCITY,ADSTATE,ADZIP5,WEBURL,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4
ART,MOBILE MUSEUM OF ART,THE MOBILE MUSEUM OF ART INC,4850 MUSEUM DR,MOBILE,AL,36689,HTTP://WWW.MOBILEMUSEUMOFART.COM/,-88.15462,30.70401,3,5,1
ART,MONTGOMERY MUSEUM OF FINE ARTS,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,ONE MUSEUM DRIVE,MONTGOMERY,AL,36123,HTTP://MMFA.ORG/,-86.2087,32.3526,3,5,1
HST,HISTORY MUSEUM OF MOBILE,MOBILE MEDICAL MUSEUM INC,111 SOUTH ROYAL STREET,MOBILE,AL,36602,NA,-88.07704,30.69234,3,5,1
ART,JAN DEMPSEY ARTS CENTER,JAN DEMPSEY ARTS CENTER,222 E DRAKE AVE,AUBURN,AL,36830,NA,-85.4782,32.61408,3,5,1
HST,HANK WILLIAMS SENIOR BOYHOOD HOME AND MUSEUM,HANK WILLIAMS MUSEUM AND FESTIVAL INC,127 ROSE ST,GEORGIANA,AL,36033,HTTP://WWW.HANKMUSEUM.COM/HOME/,-86.74566,31.65737,3,5,4
ART,FAYETTE ART MUSEUM,FAYETTE ART MUSEUM,530 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,NA,-87.83088,33.68726,3,5,3
ART,ALABAMA FOLK ART MUSEUM,ALABAMA FOLK ART MUSEUM,1731 1ST AVE N,BIRMINGHAM,AL,35203,HTTP://WWW.ARTFOLKGALLERY.ORG,-86.80921,33.51275,3,5,1
HST,BIRMINGHAM HISTORY CENTER,BIRMINGHAM HISTORY CENTER,1731 1ST AVE N STE 120,BIRMINGHAM,AL,35203,HTTP://WWW.BIRMINGHAMHISTORYCENTER.ORG/,-86.80949,33.51496,3,5,1
ART,BARE HANDS GALLERY,BARE HANDS GALLERY INC,PO BOX 13961,BIRMINGHAM,AL,35202,HTTP://WWW.BAREHANDSINC.ORG/,-86.80581,33.51634,3,5,1
SCI,RED BAY MUSEUM,RED BAY MUSEUM,400 4TH ST SW,RED BAY,AL,35582,NA,-88.14745,34.44257,3,5,4
HST,PIONEER MUSEUM OF ALABAMA,PIONEER MUSEUM OF ALABAMA ASSN,248 HIGHWAY 231 N,TROY,AL,36081,HTTP://WWW.PIONEER-MUSEUM.ORG,-85.99719,31.85412,3,5,3
ART,BIRMINGHAM MUSEUM OF ART,BIRMINGHAM MUSEUM OF ART MEMBERS,2000 8TH AVENUE NORTH,BIRMINGHAM,AL,35203,HTTP://WWW.ARTSBMA.ORG/,-86.80939,33.52206,3,5,1
HST,BESSEMER HALL OF HISTORY,BESSEMER HALL OF HISTORY INC,1905 ALABAMA AVE,BESSEMER,AL,35020,HTTP://WWW.BESSEMERHALLOFHISTORY.ORG,-86.95051,33.40094,3,5,2
HST,BLUE AND GREY MUSEUM OF NORTH ALABAMA,BLUE AND GREY MUSEUM OF NORTH ALABAMA,723 BANK ST NW,DECATUR,AL,35601,HTTP://WWW.ALABAMACIVILWARMUSEUM.COM/,-86.98777,34.59053,3,5,1
ART,WALNUT GALLERY,WALNUT GALLERY INC,534 A WALNUT STREET,GADSDEN,AL,35901,HTTP://WWW.WALNUTGALLERY.ORG,-86.01258,34.01135,3,5,1
HST,FAIRHOPE MUSEUM OF HISTORY,FRIENDS OF THE FAIRHOPE MUSEUM OF HISTORY INC,PO BOX 75,FAIRHOPE,AL,36533,NA,-87.9029,30.52517,3,5,1
HST,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,SAVING OUR FLYING HERITAGE THROUGH A FLYING MUSEUM,495BRENDA DR,MADISON,AL,35758,NA,-86.74156,34.7146,3,5,2
ART,ALABAMA RIVER REGION ARTS CENTER,ALABAMA RIVER REGION ARTS CENTER,300 W TALLASSEE ST,WETUMPKA,AL,36092,HTTP://WWW.ARRAC.ORG,-86.20616,32.599850000000004,3,5,4
HST,ALABAMA VETERANS MUSEUM & ARCHIVES,ALABAMA VETERANS MUSEUM & ARCHIVES,PO BOX 549,ATHENS,AL,35612,HTTP://WWW.ALABAMAVETERANSMUSEUM.COM,-86.97072,34.80672,3,5,3
HST,FORTSON MUSEUM & ARCHIVES,FORTSON MUSEUM & ARCHIVES,140 BLAIR FARMS RD,ODENVILLE,AL,35120,NA,-86.40964,33.67461,3,5,4
CMU,CHILDREN'S MUSEUM OF ALABAMA,CHILDRENS MUSEUM OF ALABAMA,PO BOX 1548,MONTGOMERY,AL,36102,NA,-86.31088,32.38083,3,5,1
HST,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,ANCIENT AFRICA ENSLAVEMENT AND CIVIL WAR MUSEUM,1410 WATER AVE,SELMA,AL,36703,NA,-87.01614,32.40797,3,5,3
HST,JESSE OWENS MUSEUM AND PARK,FRIENDS OF THE JESSE OWENS MUSEUM AND PARK,174 COUNTY ROAD 241,MOULTON,AL,35650,HTTP://JESSEOWENSMUSEUM.ORG/WORDPRESS1/,-87.2792,34.53612,3,5,4
SCI,COOKS NATURAL SCIENCE MUSEUM,COOKS NATURAL SCIENCE MUSEUM,1741 5TH AVENUE SE,DECATUR,AL,35601,NA,-86.98293,34.58039,3,5,1
ART,MUSTANG MUSEUM OF AMERICA,MUSTANG MUSEUM OF AMERICA,10830 AL HIGHWAY 1,ODENVILLE,AL,35120,NA,-86.49679,33.57656,3,5,4
SCI,HOMER B WILSON JR VINTAGE MUSEUM,HOMER B WILSON JR VINTAGE MUSEUM,20524 HWY 431N,GUNTERSVILLE,AL,35976,HTTP://HOMERWILSONVINTAGEMUSEUM.ORG,-86.2544,34.40105,3,5,4
NAT,MUSANN CORP,MUSANN CORP,PO BOX 1587,ANNISTON,AL,36202,NA,-85.82646,33.65842,3,5,1
SCI,NORTH ALABAMA SCIENCE CENTER,NORTH ALABAMA SCIENCE CENTER INC,102 D WYNN DRIVE,HUNTSVILLE,AL,35805,HTTPS://SCI-QUEST.ORG/,-86.69326,34.75149,3,5,1
ART,EASTERN SHORE ART ASSOCIATION,EASTERN SHORE ART ASSN INC,401 OAK AVE,FAIRHOPE,AL,36532,HTTP://WWW.ESARTCENTER.COM,-87.90355,30.52659,3,5,1
HST,STURDIVANT HALL MUSEUM,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC,PO BOX 1205,SELMA,AL,36702,NA,-87.02827,32.41279,3,5,3
ART,GADSDEN MUSEUM OF FINE ARTS,GADSDEN MUSEMUM OF FINE ARTS INC,515 BROAD STREET,GADSDEN,AL,35901,HTTP://WWW.GADSDENMUSEUM.COM/,-86.00513,34.01391,3,5,1
SCI,EXPLORE CENTER,EXPLORE CENTER INC,PO BOX 1968,MOBILE,AL,36633,HTTP://WWW.EXPLOREUM.COM,-88.10646,30.6708,3,5,1
HST,ALABAMA MINING MUSEUM,ALABAMA MINING MUSEUM,120 EAST ST,DORA,AL,35062,NA,-87.09091,33.73169,3,5,4
HST,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES,SELMA-DALLAS COUNTY MUSEUM OF HISTORY AND ARCHIVES INC,PO BOX 1391,SELMA,AL,36702,NA,-87.01422,32.40885,3,5,3
ART,COLEMAN CENTER FOR THE ARTS,COLEMAN CENTER FOR THE ARTS,630 AVENUE A ST,YORK,AL,36925,HTTP://COLEMANARTS.ORG/,-88.29437,32.48383,3,5,4
HST,BURRITT MUSEUM,BURRITT MUSEUM ASSOCIATION INC,3101 BURRITT DR SE,HUNTSVILLE,AL,35801,HTTP://WWW.BURRITTONTHEMOUNTAIN.COM,-86.53769,34.72003,3,5,1
HST,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION,SCOTTSBORO JACKSON HERITAGE CENTER ASSOCIATION,PO BOX 53,SCOTTSBORO,AL,35768,HTTP://WWW.SJHC.US/,-86.03733,34.67179,3,5,3
CMU,CHOM INCORPORATED OF TUSCALOOSA COUNTY,CHOM INCORPORATED OF TUSCALOOSA COUNTY,2213 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,HTTP://WWW.CHOMONLINE.ORG,-87.56584,33.21045,3,5,1
ART,KENTUCK ART CENTER & MUSEUM,THE KENTUCK MUSEUM ASSOCIATION INC,503 MAIN AVE,NORTHPORT,AL,35476,HTTP://KENTUCK.ORG,-87.57842,33.21904,3,5,2
ART,WIREGRASS MUSEUM OF ART,THE WIREGRASS MUSEUM OF ART INC,PO BOX 1624,DOTHAN,AL,36302,HTTP://WWW.WIREGRASSMUSEUM.ORG/,-85.38911,31.22382,3,5,1
ART,CHOCTAW COUNTY HISTORICAL MUSEUM,CHOCTAW COUNTY HISTORICAL MUSEUM INC,2842 ARARAT ROAD,TOXEY,AL,36921,NA,-88.23785,32.11194,3,5,4
HST,MARIETTA L JOHNSON MUSEUM,MARIETTA L JOHNSON MUSEUM,10 S SCHOOL ST,FAIRHOPE,AL,36532,HTTP://MARIETTAJOHNSON.ORG,-87.90081,30.52388,3,5,1
SCI,STATE OF ALABAMA ENGINEERING HALL OF FAME,THE STATE OF ALABAMA ENGINEERING HALL OF FAME,PO BOX 870200,TUSCALOOSA,AL,35487,HTTP://AEHOF.ENG.UA.EDU/,-87.54712,33.20964,3,5,1
ART,GADSDEN MUSEUM OF ART,GADSDEN MUSEUM OF ART,2829 W MEIGHAN BLVD,GADSDEN,AL,35904,HTTP://WWW.GADSDENMUSEUM.COM/,-86.04895,34.02262,3,5,1
HST,MONROE COUNTY HERITAGE MUSEUM,MONROE COUNTY HERITAGE MUSEUM INC,PO BOX 1637,MONROEVILLE,AL,36461,NA,-87.32765,31.51158,3,5,3
ART,ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,ISABEL ANDERSON COMER MUSEUM & ARTS CENTER,PO BOX 245,SYLACAUGA,AL,35150,HTTP://COMERMUSEUM.WEEBLY.COM,-86.25086,33.16453,3,5,3
HST,ALICEVILLE MUSEUM,ALICEVILLE MUSEUM INC,104 BROAD ST PLAZA,ALICEVILLE,AL,35442,HTTP://WWW.ALICEVILLEMUSEUM.ORG/,-88.16462,33.12964,3,5,4
HST,TONEY SCHOOL COMMUNITY MUSEUM,TONEY SCHOOL COMMUNITY MUSEUM INC,785 TONEY SCHOOL RD,TONEY,AL,35773,NA,-86.77529,34.89494,3,5,4
NAT,AMERICAN INDIAN MUSEUM,AMERICAN INDIAN MUSEUM,2003 POOLE DRIVE,HUNTSVILLE,AL,35810,NA,-86.59152,34.75987,3,5,1
HST,GULF COAST INTERNATIONAL MUSEUM,GULF COAST INTERNATIONAL MUSEUM INC,PO BOX 204,MOBILE,AL,36601,NA,-88.04401,30.69651,3,5,1
HST,VULCAN PARK AND MUSEUM,VULCAN PARK FOUNDATION,1701 VALLEY VIEW DR,BIRMINGHAM,AL,35209,HTTP://VISITVULCAN.COM/,-86.79686,33.49037,3,5,1
ART,TROY-PIKE CULTURAL ARTS CENTER,TROY-PIKE CULTURAL ARTS CENTER INC,PO BOX 863,TROY,AL,36081,HTTP://WWW.TPCAC.ORG,-85.97027,31.80862,3,5,3
ART,EAST ALABAMA ARTISTS,EAST ALABAMA ARTISTS INCORPORATED,PO BOX 443,ANNISTON,AL,36202,NA,-85.82646,33.65842,3,5,1
HST,MARSHALL COUNTY SPORTS HALL OF FAME,MARSHALL COUNTY SPORTS HALL OF FAME INC,PO BOX 744,BOAZ,AL,35957,HTTP://WWW.MCSHOF.ORG/,-86.17222,34.20111,3,5,3
HST,HEART OF DIXIE RAILROAD MUSEUM,HEART OF DIXIE RAILROAD MUSEUM INC,PO BOX 727,CALERA,AL,35040,HTTP://WWW.HODRRM.ORG/,-86.7499,33.1092,3,5,4
HST,NORTH ALABAMA RAILROAD MUSEUM,NORTH ALABAMA RAILROAD MUSEUM INC,PO BOX 4163,HUNTSVILLE,AL,35815,NA,-86.5462,34.78365,3,5,4
CMU,CHILDREN'S MUSEUM OF THE SHOALS,CHILDRENS MUSEUM OF THE SHOALS INC,2810 DARBY DR,FLORENCE,AL,35630,HTTP://SHOALSCHILDRENSMUSEUM.ORG/,-87.64879,34.84045,3,5,1
HST,COURTLAND HERITAGE MUSEUM,COURTLAND HERITAGE MUSEUM INC,PO BOX 245,COURTLAND,AL,35618,HTTP://WWW.NORTHALABAMA.ORG/DO,-87.31032,34.66655,3,5,4
HST,SLOSS FURNACES,SLOSS FURNACES FOUNDATION INC,20 32ND ST N,BIRMINGHAM,AL,35222,HTTP://SLOSSFURNACES.COM/,-86.78855,33.52109,3,5,1
NAT,SHELDON JACKSON MUSEUM,FRIENDS OF SHELDON JACKSON MUSEUM,104 COLLEGE DRIE,SITKA,AK,99835,HTTP://MUSEUMS.ALASKA.GOV/SHELDON_JACKSON/SJHOME.HTML,-135.32213,57.05064,6,8,3
HST,MUSEUM OF ALASKA TRANSPORTATION AND INDUSTRY,MUSEUM OF ALASKA TRANSPORATION AND INDUSTRY INC,3800 W MUSEUM DR,WASILLA,AK,99687,HTTP://WWW.MUSEUMOFALASKA.ORG/,-149.44139,61.58414,6,8,3
HST,KODIAK MILITARY HISTORY MUSEUM,KODIAK MILITARY HISTORY MUSEUM,1417 MILL BAY RD,KODIAK,AK,99615,HTTP://WWW.KADIAK.ORG,-152.38722,57.79856,6,8,4
HST,KNIK MUSEUM,WASILLA-KNIK HISTORICAL SOCIETY,KNIK RD,WASILLA,AK,99654,NA,-149.43945,61.58245,6,8,3
HST,ALASKA HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,301 W NORTHERN LIGHTS BLVD,ANCHORAGE,AK,99503,NA,-149.97254,61.17925,6,8,1
HST,ALASKA VETERANS MUSEUM,ALASKA VETERANS MUSEUM,334 W 4TH AVENUE 227,ANCHORAGE,AK,99501,NA,-149.87855,61.21406,6,8,1
CMU,CHILDREN'S MUSEUM OF ALASKA,CHILDRENS MUSEUM OF ALASKA,PO BOX 112772,ANCHORAGE,AK,99511,NA,-149.86107,61.11024,6,8,1
ART,NEW YORK ALASKA HOUSE,NEW YORK ALASKA HOUSE INC,3806 N POINT CIR,ANCHORAGE,AK,99502,NA,-149.94851,61.13325,6,8,1
CMU,FAIRBANKS CHILDREN'S MUSEUM,FAIRBANKS CHILDRENS MUSEUM,PO BOX 72477,FAIRBANKS,AK,99707,NA,-147.72078,64.84217,6,8,1
SCI,MARIE DRAKE PLANETARIUM,FRIENDS OF THE MARIE DRAKE PLANETARIUM,PO BOX 23042,JUNEAU,AK,99802,HTTP://MARIEDRAKEPLANETARIUM.ORG,-134.61082,58.36674,6,8,4
HST,WHITTIER MUSEUM ASSOCIATION,WHITTIER MUSEUM ASSOCIATION,100 WHITTIER STREET,WHITTIER,AK,99693,NA,-148.68,60.77,6,8,4
HST,ALASKA MINING HALL OF FAME FOUNDATION,ALASKA MINING HALL OF FAME FOUNDATION,PO BOX 81906,FAIRBANKS,AK,99708,NA,-147.82945,64.85079,6,8,2
HST,HAMMER MUSEUM,HAMMER MUSEUM INC,PO BOX 702,HAINES,AK,99827,HTTP://WWW.HAMMERMUSEUM.ORG,-135.47365,59.24675,6,8,4
HST,PIONEER MEMORIAL PARK,PIONEER MEMORIAL PARK INC,PO BOX 70176,FAIRBANKS,AK,99707,HTTP://WWW.CO.FAIRBANKS.AK.US/PIONEERPARK/,-147.76725,64.83685,6,8,1
HST,ALASKA AVIATION HERITAGE MUSEUM,ALASKA AVIATION HERITAGE MUSEUM,4721 AIRCRAFT DR,ANCHORAGE,AK,99502,http://www.alaskaairmuseum.org/,-149.97254,61.17925,6,8,1
HST,CLAUSEN MEMORIAL MUSEUM,CLAUSEN MEMORIAL MUSEUM,PO BOX 708,PETERSBURG,AK,99833,HTTP://WWW.CLAUSENMUSEUM.NET,-132.96963,56.80634,6,8,4
ART,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS,INTERNATIONAL GALLERY OF CONTEMPORARY ARTS INC,PO BOX 100239,ANCHORAGE,AK,99510,NA,-149.88931,61.21824,6,8,1
HST,SHELDON MUSEUM AND CULTURAL CENTER,SHELDON MUSEUM AND CULTURAL CENTER INC,PO BOX 269,HAINES,AK,99827,HTTP://WWW.SHELDONMUSEUM.ORG,-135.47365,59.24675,6,8,4
HST,FAIRBANKS COMMUNITY MUSEUM,THE FAIRBANKS COMMUNITY MUSEUM,410 CUSHMAN STREET,FAIRBANKS,AK,99701,HTTP://FAIRBANKSHISTORYMUSEUM.COM/,-147.72457,64.84231,6,8,1
ART,ANCHORAGE CLAY ARTS GUILD,ANCHORAGE CLAY ARTS GUILD,PO BOX 241151,ANCHORAGE,AK,99524,NA,-149.89178,61.18495,6,8,1
HST,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION,VALDEZ MUSEUM AND HISTORICAL ARCHIVE ASSOCIATION INCORPORAT,PO BOX 8,VALDEZ,AK,99686,HTTP://WWW.VALDEZMUSEUM.ORG/,-146.21652,61.10482,6,8,4
ART,KODIAK MARITIME MUSEUM AND ART CENTER,KODIAK MARITIME MUSEUM AND ART CENTER,PO BOX 1876,KODIAK,AK,99615,HTTP://WWW.KODIAKMARITIMEMUSEUM.ORG,-152.40165,57.79263,6,8,3
SCI,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY INCOR,9711 KENAI SPUR HWY,KENAI,AK,99611,HTTP://WWW.AKCHALLENGER.ORG,-151.21598,60.56149,6,8,3
ART,PRATT MUSEUM,PATRONS OF THE PRATT SOCIETY,3779 BARTLETT STREET,HOMER,AK,99603,HTTP://WWW.PRATTMUSEUM.ORG/,-151.5504,59.6447,6,8,4
ART,SUN CITIES ART MUSEUM,WEST VALLEY ART MUSEUM-SUN CITIES MUSEUM OF ART INC,17425 N 115TH AVENUE,SUN CITY,AZ,85373,NA,-112.24,33.60642,6,6,2
ART,PHIPPEN ART MUSEUM,GEORGE PHIPPEN MEMORIAL FOUNDATION,4701 NORTH HWY 89,PRESCOTT,AZ,86301,HTTP://WWW.PHIPPENARTMUSEUM.ORG,-112.42997,34.47137,6,6,4
HST,PIONEER ARIZONA LIVING HISTORY MUSEUM,PIONEER ARIZONA FOUNDATION,3901 WEST PIONEER ROAD,PHOENIX,AZ,85027,NA,-112.1443,33.81923,6,6,4
HST,HOMOLOVI RUINS STATE PARK,HOMOLOVI RUINS STATE PARK,ARIZONA 87,WINSLOW,AZ,86047,HTTP://AZSTATEPARKS.COM,-110.70285,35.03033,6,6,3
ART,HALLE HEART CENTER MUSEUM,HALLE HEART CENTER MUSEUM,2929 S 48TH ST,TEMPE,AZ,85282,HTTP://WWW.HEART.ORG/,-111.97755,33.3969,6,6,1
NAT,COLOSSAL CAVE MOUNTAIN PARK,PIMA COUNTY PARKLANDS FOUNDATION,16721 E OLD SPANISH TRL,VAIL,AZ,85641,HTTP://COLOSSALCAVE.ORG/,-110.78583,31.94611,6,6,3
HST,BUCKEYE MUSEUM,BUCKEYE VALLEY HISTORICAL & ARCHAEOLOGICAL MUSEUM,116 E US HIGHWAY 85,BUCKEYE,AZ,85326,NA,-112.55101,33.39445,6,6,4
ART,CASA GRANDE ART MUSEUM,CASA GRANDE ART MUSEUM,319 W 3RD ST,CASA GRANDE,AZ,85122,NA,-111.75492,32.87885,6,6,2
SCI,ARIZONA MILITARY HERITAGE CENTER,ARIZONA AEROSPACE FOUNDATION INC,2245 CLEARWATER DR,BULLHEAD CITY,AZ,86442,HTTP://WWW.PIMAAIR.ORG,-110.85327,32.14063,6,6,4
ART,UDINOTTI MUSEUM OF FIGURATIVE ART,UDINOTTI MUSEUM OF FIGURATIVE ART INC,6511 E MCDONALD DR,PARADISE VLY,AZ,85253,NA,-111.94046,33.52232,6,6,2
CMU,CHILDREN MUSEUM OF CHANDLER,CHILDREN MUSEUM OF CHANDLER,PO BOX 2906,CHANDLER,AZ,85244,NA,-111.83867,33.30463,6,6,2
HST,SANTA CRUZ VALLEY HISTORIC MUSEUM,SANTA CRUZ VALLEY HISTORIC MUSEUM,PO BOX 20,ARIZONA CITY,AZ,85123,NA,-111.67693,32.74996,6,6,3
SCI,ARIZONA DEPARTMENT OF MINES & MINERAL RESOURCES,ARIZONA DEPARTMENT OF MINES & MINERAL RESOURCES,1502 W WASHINGTON ST,PHOENIX,AZ,85007,HTTP://WWW.ADMMR.STATE.AZ.US,-112.0916,33.44847,6,6,1
ART,MINI-TIME MACHINE,MINI-TIME MACHINE INC,4491 E FORT LOWELL RD,TUCSON,AZ,85712,NA,-110.89506,32.26689,6,6,1
ART,ZELMA BASHA SALMERI GALLERY OF WESTERN AMERICAN AND AMERICAN INDIAN ART,ZELMA BASHA SALMERI ART FOUNDATION,PO BOX 488,CHANDLER,AZ,85244,NA,-111.85834,33.24326,6,6,2
HST,HIGH DESERT HERITAGE MUSEUM,HIGH DESERT HERITAGE MUSEUM INC,PO BOX 1168,MAYER,AZ,86333,NA,-112.11654,34.3214,6,6,4
HST,SANDERSON MUSEUM & VILLAGE,SANDERSON MUSEUM & VILLAGE,1305 E HATCHER RD,PHOENIX,AZ,85020,NA,-112.05421,33.57097,6,6,1
SCI,MUSEUM OF SCIENCE AND SUSTAINABILITY,MUSEUM OF SCIENCE AND SUSTAINABILITY,3130 N ARIZONA AVE 108,CHANDLER,AZ,85225,HTTP://WWW.MOS.ORG/VISIT-US,-111.86464,33.38031,6,6,1
HST,NAVAJO CODE TALKERS MUSEUM,NAVAJO CODE TALKERS FOUNDATION,PO BOX 1266,WINDOW ROCK,AZ,86515,HTTP://NAVAJOCODETALKERS.ORG/,-109.05,35.35,6,6,4
HST,MARICOPA COUNTY JUSTICE MUSEUM & LEARNING CENTER FOUNDATION,MARICOPA COUNTY JUSTICE MUSEUM & LEARNING CENTER FOUNDATION,LEARNING CENTER FOUNDATION 303 E PA,PHOENIX,AZ,85004,HTTP://WWW.JUSTICEMUSEUM.ORG/,-112.07159,33.4576,6,6,1
CMU,SCOTTSDALE CHILDREN'S MUSEUM I,SCOTTSDALE CHILDREN'S MUSEUM I,4727 E BELL RD,PHOENIX,AZ,85032,NA,-111.97926,33.63833,6,6,1
SCI,SCIENCE DOWNTOWN,SCIENCE DOWNTOWN,64 E BROADWAY,TUCSON,AZ,85701,NA,-110.9204,32.13943,6,6,1
SCI,EARTH SCIENCE MUSEUM,EARTH SCIENCE MUSEUM,3215 W BETHANY HOME RD,PHOENIX,AZ,85017,NA,-112.12906,33.52363,6,6,1
CMU,OVER THE RAINBOW BUTTERFLY GARDEN,OVER THE RAINBOW BUTTERFLY GARDEN INC,11315 N CRESTVIEW STREET,FLAGSTAFF,AZ,86004,HTTP://WWW.OVERTHERAINBOWBUTTERFLYGARDEN.COM/,-111.55562,35.30352,6,6,4
HST,MUSEUM OF TELEVISION,MUSEUM OF TELEVISION,849 N 3RD AVE,PHOENIX,AZ,85003,HTTP://WWW.MUSEUMOFTV.ORG/INDEX.HTML,-112.07734,33.45768,6,6,1
ART,SHEMER ART CENTER & MUSEUM,SHEMER ART CENTER AND MUSEUM ASSOCIATION INC SACAMA,5005 E CAMELBACK RD,PHOENIX,AZ,85018,HTTP://WWW.SHEMERARTCENTER.ORG/,-111.97235,33.50482,6,6,1
HST,AFRICAN AMERICAN MULTICULTURAL MUSEUM,AFRICAN AMERICAN MULTICULTURAL MUSEUM,11259 E VIA LINDA SUITE 100-159,SCOTTSDALE,AZ,85259,HTTP://WWW.AAMMUSEUM.ORG,-111.92598,33.45481,6,6,1
ART,PHOENIX ART MUSEUM,PHOENIX ART MUSEUM,1625 N CENTRAL AVE,PHOENIX,AZ,85004,HTTP://WWW.PHXART.ORG,-112.07256,33.46697,6,6,1
SCI,LOWELL OBSERVATORY,LOWELL OBSERVATORY,1400 W MARS HILL RD,FLAGSTAFF,AZ,86001,NA,-111.66222,35.19935,6,6,4
HST,MUSEUM OF NORTHERN ARIZONA,MUSEUM OF NORTHERN ARIZONA INC,3101 N FORT VALLEY RD,FLAGSTAFF,AZ,86001,HTTP://MUSNAZ.ORG/,-111.66436,35.23431,6,6,1
NAT,ARIZONA SONORA DESERT MUSEUM,ARIZONA SONORA DESERT MUSEUM,2021 N KINNEY RD,TUCSON,AZ,85743,HTTP://WWW.DESERTMUSEUM.ORG,-111.16237,32.24472,6,6,4
HST,ROSSON HOUSE HERITAGE SQUARE & FOUNDATION,ROSSON HOUSE HERITAGE SQUARE & FOUNDATION INC,113 N 6TH ST,PHOENIX,AZ,85004,HTTP://HERITAGESQUAREPHX.ORG/,-112.06615,33.44954,6,6,1
ART,SEDONA ART MUSEUM,SEDONA ART MUSEUM INC,310 APPLE AVE,SEDONA,AZ,86336,HTTP://SEDONAARTMUSEUM.ORG/,-111.79273,34.86226,6,6,4
HST,ROBERT LOUIS STEVENSON MUSEUM,ROBERT LOUIS STEVENSON MUSEUM- PRESERVATION FOUNDATION INC,7501 E MCCORMICK PKY,SCOTTSDALE,AZ,85258,HTTP://RLSMUSEUM.ORG/,-111.92175,33.54994,6,6,1
ART,ALWUN HOUSE FOUNDATION,ALWUN HOUSE FOUNDATION,1204 E ROOSEVELT ST,PHOENIX,AZ,85006,HTTP://ALWUNHOUSE.ORG/,-112.05542,33.45894,6,6,1
NAT,ARIZONA MUSEUM OF NATURAL HISTORY,ARIZONA MUSEUM OF NATURAL HISTORY FOUNDATION,53 N MACDONALD,MESA,AZ,85201,HTTP://WWW.AZMNH.ORG,-111.83358,33.41665,6,6,1
HST,WOMEN'S AIRFORCE SERVICE PILOTS MUSEUM,W A S P MUSEUM INC,PO BOX 619,QUARTZSITE,AZ,85346,HTTP://WASPMUSEUM.COM/,-114.2174,33.66642,6,6,3
HST,PHOENIX POLICE MUSEUM,PHOENIX POLICE MUSEUM,17 SOUTH 2ND AVENUE 1ST FLOOR,PHOENIX,AZ,85003,NA,-112.07628,33.446,6,6,1
ART,CASTANEDA MUSEUM OF ETHNIC COSTUME,CASTANEDA MUSEUM OF ETHNIC COSTUME INC,3550 E THIMBLE PEAK PL,TUCSON,AZ,85718,HTTP://WWW.CASTANEDAMUSEUM.ORG,-110.9168,32.32956,6,6,2
NAT,HIGHLANDS CENTER FOR NATURAL HISTORY,HIGHLANDS CENTER FOR NATURAL HISTORY,1375 WALKER RD,PRESCOTT,AZ,86303,HTTP://HIGHLANDSCENTER.ORG,-112.38526,34.45536,6,6,4
ART,MUSEUM OF CONTEMPORARY ART,MUSEUM OF CONTEMPORARY ART,265 S CHURCH AVE,TUCSON,AZ,85701,HTTP://WWW.MOCA-TUCSON.ORG,-110.97221,32.21839,6,6,1
HST,SODA SPRINGS IDAHO HISTORICAL MUSEUM,SODA SPRINGS IDAHO HISTORICAL MUSEUM INC,7501 E MCCORMICK PKWY,SCOTTSDALE,AZ,85258,NA,-111.59082,42.6583,6,7,3
CMU,HEALTH WORLD EDUCATION,HEALTH WORLD EDUCATION LTD,8601 E VIA DEL SOL DR,SCOTTSDALE,AZ,85255,NA,-111.89545,33.68534,6,6,1
HST,HOUSE OF BROADCASTING,HOUSE OF BROADCASTING INC,7534 N 7TH ST,PHOENIX,AZ,85020,HTTP://WWW.HOUSEOFBROADCASTING.COM/,-111.92664,33.49852,6,6,1
CMU,FLAGSTAFF CHILDREN'S MUSEUM,FLAGSTAFF CHILDRENS MUSEUM INCORPORATED,1817 N MEADOW LARK DR,FLAGSTAFF,AZ,86001,NA,-111.64114,35.2153,6,6,1
ART,YOUNG ARTS ARIZONA,YOUNG ARTS ARIZONA LTD,2009 N 7TH ST,PHOENIX,AZ,85006,HTTP://WWW.YOUNGARTSAZ.ORG,-111.97454,33.52066,6,6,1
